model,target_variable,location,all_quantiles_all_horizons,all_horizons,not_excluded_manually,included_in_ensemble,forecast_date,rel_wis
BIOCOMSC-Gompertz,inc case,AT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,BE,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,BG,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,CY,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,CZ,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,DE,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,DK,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,EE,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,FI,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,FR,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,GB,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,GR,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,HR,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,HU,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,IS,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,IT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,LI,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,LT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,LV,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,MT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,NL,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,NO,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,PL,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,PT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,RO,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,SI,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc case,SK,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,AT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,BE,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,BG,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,CZ,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,DE,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,DK,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,EE,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,FI,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,FR,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,GB,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,GR,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,HR,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,HU,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,IS,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,IT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,LI,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,LT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,LV,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,MT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,NL,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,PL,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,PT,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,RO,FALSE,FALSE,TRUE,FALSE,2021-05-24,
BIOCOMSC-Gompertz,inc death,SI,FALSE,FALSE,TRUE,FALSE,2021-05-24,
